meeting_year,meeting_type,meeting_number,meeting_name,paper_type,paper_number,has_revisions,one_revision_name,agendas,parties,one_revision_url
1964,ATCM,3,ATCM III,wp,1,False,Agreed measures for conservation of flora and fauna in the Antarctic,ATCM 1,Belgium,https://documents.ats.aq/ATCM3/wp/ATCM3_wp001_e.pdf
1964,ATCM,3,ATCM III,wp,2,False,Agreed measures for the conservation of wild life in the Antarctic. United Kingdom draft proposal for a Recommendation of the Third Consultative Meeting,ATCM 1,United Kingdom,https://documents.ats.aq/ATCM3/wp/ATCM3_wp002_e.pdf
1964,ATCM,3,ATCM III,wp,3,True,U.S. proposal concerning SCAR protection of fauna and flora,ATCM 1,United States,https://documents.ats.aq/ATCM3/wp/ATCM3_wp003_rev2_e.pdf
1964,ATCM,3,ATCM III,wp,4,True,Pelagic sealing,ATCM 1,Australia | Norway | Russian Federation | United Kingdom | United States,https://documents.ats.aq/ATCM3/wp/ATCM3_wp004_e.pdf
1964,ATCM,3,ATCM III,wp,5,True,Draft recommendation on oil pollution,ATCM 1,United Kingdom,https://documents.ats.aq/ATCM3/wp/ATCM3_wp005_e.pdf
1964,ATCM,3,ATCM III,wp,6,False,"Antarctic Treaty Meeting on Telecommunications. Washington, DC: June 24-26, 1963.",ATCM 2,United States,https://documents.ats.aq/ATCM3/wp/ATCM3_wp006_e.pdf
1964,ATCM,3,ATCM III,wp,7,True,Recommendations of the Antarctic Treaty Meeting on Telecommunications. (Washington 24-28 June 1963),ATCM 2,Australia,https://documents.ats.aq/ATCM3/wp/ATCM3_wp007_e.pdf
1964,ATCM,3,ATCM III,wp,8,False,Note from the Secretariat. Proposal by the World Meteorological Organization to set up a permanent committee for meteorology in the Antarctic.,ATCM 3,Belgium,https://documents.ats.aq/ATCM3/wp/ATCM3_wp008_e.pdf
1964,ATCM,3,ATCM III,wp,9,True,"Standing Committee on Antarctic meteorology dated April 3, 1964: Recommendation proposed by U.K.",ATCM 3,Chile | Russian Federation | United Kingdom,https://documents.ats.aq/ATCM3/wp/ATCM3_wp009_e.pdf
1964,ATCM,3,ATCM III,wp,10,True,"Notification of refuges that are unoccupied but could be used by an expedition in difficulty, and report upon the condition of the refuge after use.",ATCM 7,Australia | United Kingdom,https://documents.ats.aq/ATCM3/wp/ATCM3_wp010_e.pdf
1964,ATCM,3,ATCM III,wp,11,False,Note from the Secretariat,ATCM 7,Belgium,https://documents.ats.aq/ATCM3/wp/ATCM3_wp011_e.pdf
1964,ATCM,3,ATCM III,wp,12,False,Questions concerning meetings of experts,ATCM 8,United Kingdom,https://documents.ats.aq/ATCM3/wp/ATCM3_wp012_e.pdf
1964,ATCM,3,ATCM III,wp,13,False,Questions concerning meetings of experts,ATCM 8,New Zealand,https://documents.ats.aq/ATCM3/wp/ATCM3_wp013_e.pdf
1964,ATCM,3,ATCM III,wp,14,False,Application of Article IX paragraph 2 of the Antarctic Treaty,ATCM 9,Australia,https://documents.ats.aq/ATCM3/wp/ATCM3_wp014_e.pdf
1964,ATCM,3,ATCM III,wp,15,True,Recommendation proposed by UK: Participation of SCAR,ATCM 11,United Kingdom,https://documents.ats.aq/ATCM3/wp/ATCM3_wp015_e.pdf
1964,ATCM,3,ATCM III,wp,16,True,Logistics Symposium,ATCM 12,Argentina | Belgium | United States,https://documents.ats.aq/ATCM3/wp/ATCM3_wp016_e.pdf
1964,ATCM,3,ATCM III,wp,17,False,Antarctic Treaty: Administrative arrangements between Consultative Meetings,ATCM 13,South Africa,https://documents.ats.aq/ATCM3/wp/ATCM3_wp017_e.pdf
1964,ATCM,3,ATCM III,wp,18,False,Measures to facilitate the exercise of inspection rights in the Antarctic,ATCM 6,Chile,https://documents.ats.aq/ATCM3/wp/ATCM3_wp018_e.pdf
1964,ATCM,3,ATCM III,wp,19,False,Conservation of fauna and flora,ATCM 1,Australia | United Kingdom,https://documents.ats.aq/ATCM3/wp/ATCM3_wp019_e.pdf
1964,ATCM,3,ATCM III,wp,20,True,United States draft proposal for a recommendation of the exchange of information on aviation facilities,ATCM 5,United States,https://documents.ats.aq/ATCM3/wp/ATCM3_wp020_e.pdf
